City,Time,Temperature,Condition
Jerusalem, 2024-06-17 18:00:00, 25.7, clear sky
Jerusalem, 2024-06-17 21:00:00, 24.79, clear sky
Jerusalem, 2024-06-18 00:00:00, 23.89, clear sky
Jerusalem, 2024-06-18 03:00:00, 21.91, clear sky
Jerusalem, 2024-06-18 06:00:00, 26.56, clear sky
Jerusalem, 2024-06-18 09:00:00, 31.65, clear sky
Jerusalem, 2024-06-18 12:00:00, 34.86, clear sky
Jerusalem, 2024-06-18 15:00:00, 30.37, clear sky
Jerusalem, 2024-06-18 18:00:00, 24.89, clear sky
Jerusalem, 2024-06-18 21:00:00, 23.81, clear sky
Jerusalem, 2024-06-19 00:00:00, 23.37, clear sky
Jerusalem, 2024-06-19 03:00:00, 22.59, clear sky
Jerusalem, 2024-06-19 06:00:00, 27.71, clear sky
Jerusalem, 2024-06-19 09:00:00, 33.18, clear sky
Jerusalem, 2024-06-19 12:00:00, 36.24, clear sky
Jerusalem, 2024-06-19 15:00:00, 31.25, clear sky
Jerusalem, 2024-06-19 18:00:00, 26.06, clear sky
Jerusalem, 2024-06-19 21:00:00, 24.92, clear sky
Jerusalem, 2024-06-20 00:00:00, 23.96, clear sky
Jerusalem, 2024-06-20 03:00:00, 22.69, scattered clouds
Jerusalem, 2024-06-20 06:00:00, 27.53, few clouds
Jerusalem, 2024-06-20 09:00:00, 31.94, clear sky
Jerusalem, 2024-06-20 12:00:00, 34.54, clear sky
Jerusalem, 2024-06-20 15:00:00, 30.45, clear sky
Jerusalem, 2024-06-20 18:00:00, 25.42, clear sky
Jerusalem, 2024-06-20 21:00:00, 24.46, clear sky
Jerusalem, 2024-06-21 00:00:00, 23.13, clear sky
Jerusalem, 2024-06-21 03:00:00, 23.27, clear sky
Jerusalem, 2024-06-21 06:00:00, 28.36, clear sky
Jerusalem, 2024-06-21 09:00:00, 32.72, clear sky
Jerusalem, 2024-06-21 12:00:00, 33.72, clear sky
Jerusalem, 2024-06-21 15:00:00, 30.31, clear sky
Jerusalem, 2024-06-21 18:00:00, 26.11, clear sky
Jerusalem, 2024-06-21 21:00:00, 26.01, clear sky
Jerusalem, 2024-06-22 00:00:00, 24.66, clear sky
Jerusalem, 2024-06-22 03:00:00, 22.9, clear sky
Jerusalem, 2024-06-22 06:00:00, 28.79, clear sky
Jerusalem, 2024-06-22 09:00:00, 33.45, clear sky
Jerusalem, 2024-06-22 12:00:00, 33.37, clear sky
Jerusalem, 2024-06-22 15:00:00, 30.92, clear sky
