Date,Open,High,Low,Close,Adj Close,Volume
2024-01-02,69.050003,69.089996,68.779999,69.080002,68.874908,109700
2024-01-03,68.889999,68.949997,68.589996,68.650002,68.446182,230000
2024-01-04,68.550003,68.940002,68.389999,68.389999,68.186958,122800
2024-01-05,68.480003,68.699997,68.330002,68.550003,68.346481,204400
2024-01-08,68.779999,69.500000,68.779999,69.449997,69.243805,372400
2024-01-09,69.230003,69.690002,69.220001,69.610001,69.403336,180000
2024-01-10,69.580002,70.010002,69.540001,69.879997,69.672531,192700
2024-01-11,70.059998,70.099998,69.589996,69.989998,69.782204,182700
2024-01-12,69.980003,70.099998,69.699997,70.070000,69.861969,174200
2024-01-15,70.349998,70.360001,70.250000,70.309998,70.101257,47200
2024-01-16,70.169998,70.400002,70.050003,70.260002,70.051407,143000
2024-01-17,70.019997,70.059998,69.739998,69.970001,69.762268,668800
2024-01-18,70.180000,70.550003,70.010002,70.500000,70.290695,740900
2024-01-19,70.599998,71.129997,70.489998,71.029999,70.819115,789000
2024-01-22,71.360001,71.559998,71.250000,71.470001,71.257813,247900
2024-01-23,71.550003,71.620003,71.430000,71.610001,71.397400,91300
2024-01-24,71.860001,72.239998,71.769997,71.980003,71.766304,404500
2024-01-25,72.160004,72.239998,71.849998,72.089996,71.875969,276400
2024-01-26,71.820000,72.139999,71.800003,71.849998,71.636681,147200
2024-01-29,71.889999,72.239998,71.860001,72.239998,72.025520,257500
2024-01-30,72.199997,72.330002,72.099998,72.150002,71.935799,116100
2024-01-31,71.750000,71.820000,71.190002,71.209999,70.998581,737200
2024-02-01,71.489998,71.779999,71.150002,71.779999,71.566887,464000
2024-02-02,72.180000,73.169998,72.110001,72.949997,72.733414,1082800
2024-02-05,73.110001,73.309998,72.830002,73.150002,72.932823,316400
2024-02-06,73.269997,73.279999,72.809998,73.050003,72.833122,288100
2024-02-07,73.330002,73.599998,73.160004,73.489998,73.271812,347000
2024-02-08,73.599998,73.599998,73.440002,73.550003,73.331642,112600
2024-02-09,73.550003,74.010002,73.500000,73.959999,73.740417,256100
2024-02-12,73.989998,74.180000,73.769997,73.879997,73.660652,137300
2024-02-13,73.330002,73.720001,73.059998,73.540001,73.321671,1013000
2024-02-14,73.830002,74.070000,73.500000,74.070000,73.850090,216000
2024-02-15,73.980003,74.139999,73.849998,74.129997,73.909912,670700
2024-02-16,74.250000,74.269997,73.800003,73.839996,73.620773,111700
2024-02-20,73.699997,73.790001,73.349998,73.610001,73.391457,234600
2024-02-21,73.440002,73.639999,73.129997,73.620003,73.401428,225400
